title,price,age,quantity,link
Тайная власть. Новый мировой порядок (Deep State: New World Order),52.00 руб.,Возраст игроков 16+,Количество игроков 2-4,http://www.nastolki.by/все-игры/тайная-власть.-новый-мировой-порядок-deep-state-new-world-order/
Дедуля Винчестер (Pappy Winchester),83.00 руб.,Возраст игроков 8+,Количество игроков 3-5,http://www.nastolki.by/все-игры/дедуля-винчестер-pappy-winchester/
Кассиопея,29.00 руб.,Возраст игроков 12+,Количество игроков 2-5,http://www.nastolki.by/все-игры/кассиопея/
Дикинги (Vikings Gone Wild),94.00 руб.,Возраст игроков 18+,Количество игроков 2-4,http://www.nastolki.by/все-игры/дикинги-vikings-gone-wild/
Поселенцы. Наброски империи (Imperial Settlers: Roll & Write),49.00 руб.,Возраст игроков 10+,Количество игроков 1-4,http://www.nastolki.by/все-игры/поселенцы.-наброски-империи-imperial-settlers-roll-write/
Нусфьорд (Nusfjord),83.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/нусфьорд-nusfjord/
Орлеан: Торговля и Интриги (Orleans: Trade & Intrigue),78.00 руб.,Возраст игроков 12+,Количество игроков 2-4,http://www.nastolki.by/все-игры/орлеан-торговля-и-интриги-orleans-trade-intrigue/
Орлеан: Вторжение (Orleans: Invasion),119.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/орлеан-вторжение-orleans-invasion/
Алхимики: Королевский Голем (Alchemists: The King's Golem),72.00 руб.,Возраст игроков 14+,Количество игроков 2-4,http://www.nastolki.by/все-игры/алхимики-королевский-голем-alchemists-the-kings-golem/
Алхимики (Alchemists),119.00 руб.,Возраст игроков 14+,Количество игроков 2-4,http://www.nastolki.by/все-игры/алхимики-alchemists/
Архитекторы западного королевства (Architects of the West Kingdom),86.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/архитекторы-западного-королевства-architects-of-the-west-kingdom/
Эпохи (Tapestry),220.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/эпохи-tapestry/
Мачи Коро: Наследие (Machi Koro: Legacy),132.00 руб.,Возраст игроков 10+,Количество игроков 2-4,http://www.nastolki.by/все-игры/мачи-коро-наследие-machi-koro-legacy/
Современное искусство (Modern Art),52.00 руб.,Возраст игроков 14+,Количество игроков 3-5,http://www.nastolki.by/все-игры/современное-искусство-modern-art/
Поселенцы. 3 в 1 (дополнение),72.00 руб.,Возраст игроков 10+,Количество игроков 1-5,http://www.nastolki.by/все-игры/поселенцы.-3-в-1-дополнение/
Остров юрского периода (Dinosaur Island),189.00 руб.,Возраст игроков 8+,Количество игроков 1-4,http://www.nastolki.by/все-игры/остров-юрского-периода-dinosaur-island/
Энциклопедия,26.00 руб.,Возраст игроков 8+,Количество игроков 2-4,http://www.nastolki.by/все-игры/энциклопедия/
