title,price,age,quantity,link
Fluxx Marvel,26.00 руб.,Возраст игроков 12+,Количество игроков 2-6,http://www.nastolki.by/все-игры/fluxx-marvel/
Русский манчкин,37.00 руб.,Возраст игроков 12+,Количество игроков 3-6,http://www.nastolki.by/все-игры/русский-манчкин/
Ловушка для пингвина,18.00 руб.,Возраст игроков 3+,Количество игроков 2-4,http://www.nastolki.by/все-игры/ловушка-для-пингвина/
Быстрее, выше, сильнее!,19.00 руб.,Возраст игроков 4+,Количество игроков 2+,http://www.nastolki.by/все-игры/быстрее-выше-сильнее/
Дорожные игры. Разноцветные гусенички,14.00 руб.,Возраст игроков 4+,Количество игроков 2-3,http://www.nastolki.by/все-игры/дорожные-игры.-разноцветные-гусенички/
Игра-ходилка с фишками. В поисках сокровищ. Пираты,7.00 руб.,Возраст игроков 6+,Количество игроков 2-4,http://www.nastolki.by/все-игры/игра-ходилка-с-фишками.-в-поисках-сокровищ.-пираты/
Чужая планета. Новые Горизонты (Not Alone: Exploration),33.00 руб.,Возраст игроков 10+,Количество игроков 2-7,http://www.nastolki.by/все-игры/чужая-планета.-новые-горизонты-not-alone-exploration/
ПроРисунки (ARTBOX),50.00 руб.,Возраст игроков 8+,Количество игроков 3-8,http://www.nastolki.by/все-игры/прорисунки-artbox/
Крокодил Кругосветный,18.50 руб.,Возраст игроков 12+,Количество игроков 4-16,http://www.nastolki.by/все-игры/крокодил-кругосветный/
Локалка,17.00 руб.,Возраст игроков 10+,Количество игроков 4-8,http://www.nastolki.by/все-игры/локалка/
Дорожные игры. Микадо,11.00 руб.,Возраст игроков 4+,Количество игроков 2-4,http://www.nastolki.by/все-игры/дорожные-игры.-микадо/
Дорожные игры. Лесные феечки,10.50 руб.,Возраст игроков 4+,Количество игроков 2-5,http://www.nastolki.by/все-игры/дорожные-игры.-лесные-феечки/
Вий. Мафия,9.30 руб.,Возраст игроков 14+,Количество игроков 6+,http://www.nastolki.by/все-игры/вий.-мафия/
Таверна «Красный Дракон»: Пирушка в стиле кунг-фу (The Red Dragon Inn 5),56.00 руб.,Возраст игроков 18+,Количество игроков 2-4,http://www.nastolki.by/все-игры/таверна-«красный-дракон»-пирушка-в-стиле-кунг-фу-the-red-dragon-inn-5/
Свинтус. Премиум-издание,22.00 руб.,Возраст игроков 5+,Количество игроков 2-10,http://www.nastolki.by/все-игры/свинтус.-премиум-издание/
Лабиринт с джойстиком круглый голубой (Bondibon),21.00 руб.,Возраст игроков 3+,Количество игроков 1,http://www.nastolki.by/все-игры/лабиринт-с-джойстиком-круглый-голубой-bondibon/
Глаз-алмаз. Путаница (Vladi Toys),21.00 руб.,Возраст игроков 3+,Количество игроков 1-6,http://www.nastolki.by/все-игры/глаз-алмаз.-путаница-vladi-toys/
Языколом,30.00 руб.,Возраст игроков 65+,Количество игроков 1-8,http://www.nastolki.by/все-игры/языколом/
Шалун-балун,20.00 руб.,Возраст игроков 8+,Количество игроков 2+,http://www.nastolki.by/все-игры/шалун-балун/
Цыплячьи бега: Прятки (Zicke Zacke card game),23.80 руб.,Возраст игроков 4+,Количество игроков 2-5,http://www.nastolki.by/все-игры/цыплячьи-бега-прятки-zicke-zacke-card-game/
Пушкин (Pirate Ships),23.00 руб.,Возраст игроков 4+,Количество игроков 2-6,http://www.nastolki.by/все-игры/пушкин-pirate-ships/
Обломи меня (Stipulations),22.50 руб.,Возраст игроков 12+,Количество игроков 4-8,http://www.nastolki.by/все-игры/обломи-меня-stipulations/
Аладдин,26.00 руб.,Возраст игроков 6+,Количество игроков 2-6,http://www.nastolki.by/все-игры/аладдин/
Балансир,24.50 руб.,Возраст игроков 5+,Количество игроков 2-4,http://www.nastolki.by/все-игры/балансир/
Лигретто красный (Ligretto),24.00 руб.,Возраст игроков 8+,Количество игроков 2-4,http://www.nastolki.by/все-игры/лигретто-красный-ligretto/
Змейка или лестница (Bondibon),25.00 руб.,Возраст игроков 5+,Количество игроков 2-4,http://www.nastolki.by/все-игры/змейка-или-лестница-bondibon/
Темпо!,13.00 руб.,Возраст игроков 12+,Количество игроков 2-10,http://www.nastolki.by/все-игры/темпо/
Галактико (Galactico),27.00 руб.,Возраст игроков 8+,Количество игроков 2-6,http://www.nastolki.by/все-игры/галактико-galactico/
Гоббит. Новое издание (Gobb'it),30.00 руб.,Возраст игроков 6+,Количество игроков 2-8,http://www.nastolki.by/все-игры/гоббит.-новое-издание-gobbit/
Медведи против малышей,29.00 руб.,Возраст игроков 18+,Количество игроков 2-5,http://www.nastolki.by/все-игры/медведи-против-малышей/
Всё на ладони (Palm Reader),29.00 руб.,Возраст игроков 6+,Количество игроков 3-10,http://www.nastolki.by/все-игры/всё-на-ладони-palm-reader/
Живые Истории (Storytailors),52.00 руб.,Возраст игроков 5+,Количество игроков 2-6,http://www.nastolki.by/все-игры/живые-истории-storytailors/
Детская мафия. Подарочное издание,37.00 руб.,Возраст игроков 6+,Количество игроков 7-16,http://www.nastolki.by/все-игры/детская-мафия.-подарочное-издание/
Детская мафия,14.00 руб.,Возраст игроков 6+,Количество игроков 7-16,http://www.nastolki.by/все-игры/детская-мафия/
