title,price,age,quantity,link
Йоги (Yogi),31.00 руб.,Возраст игроков 8+,Количество игроков 3-10,http://www.nastolki.by/все-игры/йоги-yogi/
Фоторыбка,73.00 руб.,Возраст игроков 4+,Количество игроков 2-4,http://www.nastolki.by/все-игры/фоторыбка/
Доббль. Холодное сердце 2,49.00 руб.,Возраст игроков 4+,Количество игроков 2-8,http://www.nastolki.by/все-игры/доббль.-холодное-сердце-2/
Хозяин леса (Эврикус),62.00 руб.,Возраст игроков 8+,Количество игроков 2-4,http://www.nastolki.by/все-игры/хозяин-леса-эврикус/
Удачная дорога (Эврикус),21.00 руб.,Возраст игроков 8+,Количество игроков 3-6,http://www.nastolki.by/все-игры/удачная-дорога-эврикус/
Эверделл: Жемчужный ручей (Everdell: Pearlbrook),151.00 руб.,Возраст игроков 10+,Количество игроков 1-4,http://www.nastolki.by/все-игры/эверделл-жемчужный-ручей-everdell-pearlbrook/
Экивоки. Для друзей,55.00 руб.,Возраст игроков 7+,Количество игроков 2-16,http://www.nastolki.by/все-игры/экивоки.-для-друзей/
Exit: Квест – Ограбление на Миссисипи (EXIT: The Game – Theft on the Mississippi),22.00 руб.,Возраст игроков 12+,Количество игроков 1-4,http://www.nastolki.by/все-игры/exit-квест-–-ограбление-на-миссисипи-exit-the-game-–-theft-on-the-mississippi/
Эра. Средневековье (Era: Medieval Age),170.00 руб.,Возраст игроков 10+,Количество игроков 1-4,http://www.nastolki.by/все-игры/эра.-средневековье-era-medieval-age/
Маракайбо (Maracaibo),189.00 руб.,Возраст игроков 12+,Количество игроков 1-4,http://www.nastolki.by/все-игры/маракайбо-maracaibo/
Драконье королевство (Dragomino),74.00 руб.,Возраст игроков 5+,Количество игроков 2-4,http://www.nastolki.by/все-игры/драконье-королевство-dragomino/
Миссия орехи,10.00 руб.,Возраст игроков 4+,Количество игроков 2-4,http://www.nastolki.by/все-игры/миссия-орехи/
Digit,15.00 руб.,Возраст игроков 8+,Количество игроков 1-4,http://www.nastolki.by/все-игры/digit/
Бамс!,83.00 руб.,Возраст игроков 5+,Количество игроков 2-6,http://www.nastolki.by/все-игры/бамс/
Спорим? 2,75.00 руб.,Возраст игроков 8+,Количество игроков 3-6,http://www.nastolki.by/все-игры/спорим-2/
Азбука Мурррзе (Эврикус),24.00 руб.,Возраст игроков 5+,Количество игроков 2-6,http://www.nastolki.by/все-игры/азбука-мурррзе-эврикус/
Кубички (Эврикус),25.00 руб.,Возраст игроков 8+,Количество игроков 2-5,http://www.nastolki.by/все-игры/кубички-эврикус/
Чёрная овечка (Эврикус),26.00 руб.,Возраст игроков 6+,Количество игроков 2-5,http://www.nastolki.by/все-игры/чёрная-овечка-эврикус/
Фруктогонщики (Fabled Fruit),75.00 руб.,Возраст игроков 8+,Количество игроков 2-5,http://www.nastolki.by/все-игры/фруктогонщики-fabled-fruit/
Фигурные прятки (BRAINY GAMES),10.00 руб.,Возраст игроков 4+,Количество игроков 2-4,http://www.nastolki.by/все-игры/фигурные-прятки-brainy-games/
